ano,curso,vagas,inscritos,pontos_minimo,pontos_maximo,candidatos_por_vaga
2018,Fonoaudiologia − Bauru,28,112,31,62,4.0
2018,Fonoaudiologia − Ribeirão Preto,24,201,38,64,8.38
2018,"Gerontologia − USP Leste, SP",42,284,36,58,6.76
2018,Medicina,125,16967,76,90,135.74
2018,Medicina − Bauru,42,4447,69,88,105.88
2018,Medicina − Ribeirão Preto,80,6920,72,87,86.5
2018,Medicina Veterinária,64,2582,54,74,40.34
2018,Medicina Veterinária − Pirassununga,42,1054,50,69,25.1
2018,Nutrição,56,1052,47,70,18.79
2018,Nutrição e Metabolismo − Ribeirão Preto,24,383,45,63,15.96
2018,"Obstetrícia − USP Leste, SP",42,407,39,71,9.69
2018,Odontologia,113,1624,46,73,14.37
2018,Odontologia − Bauru,35,549,46,67,15.69
2018,Odontologia − Ribeirão Preto,56,1117,48,78,19.95
2018,Psicologia,49,2994,61,84,61.1
2018,Psicologia − Ribeirão Preto,28,1316,56,74,47.0
2018,Saúde Pública,28,98,27,60,3.5
2018,Terapia Ocupacional,22,209,40,61,9.5
2018,Terapia Ocupacional − Ribeirão Preto,16,149,37,63,9.31
2018,Zootecnia − Pirassununga,28,238,37,64,8.5
2018,Treinamento Biológicas,300,4682,46,81,15.61
2018,Ciências Físicas e Biomoleculares − São Carlos,28,109,39,75,3.89
2018,"Ciências da Natureza − USP Leste, SP",42,252,37,60,6.0
2018,Computação,250,2589,49,81,10.36
2018,Engenharia Aeronáutica − São Carlos,36,1018,65,83,28.28
2018,Engenharia Ambiental − Lorena,32,168,37,65,5.25
2018,Engenharia Ambiental − São Carlos,30,258,44,74,8.6
2018,Engenharia Bioquímica − Lorena,30,131,38,74,4.37
2018,Engenharia Civil − São Carlos,60,1366,53,81,22.77
2018,Engenharia de Alimentos − Pirassununga,68,346,38,69,5.09
2018,Engenharia de Biossistemas − Pirassununga,42,212,35,71,5.05
2018,Engenharia de Materiais − Lorena,30,142,39,63,4.73
2018,Engenharia de Materiais e Manufatura − São Carlos,40,288,47,77,7.2
2018,Engenharia de Produção − Lorena,34,552,48,73,16.24
2018,Engenharia Elétrica e de Computação − São Carlos,130,1640,54,82,12.62
2018,Engenharia Física − Lorena,30,162,44,73,5.4
2018,Engenharia Química − Lorena,120,1048,47,74,8.73
2018,Engenharia na Escola Politécnica,783,8482,57,88,10.83
2018,Engenharia − São Carlos,135,1778,56,78,13.17
2018,Física / Física Computacional / Meteorologia / Geofísica / Astronomia / Estatíst,447,2680,44,83,6.0
2018,Física Médica − Ribeirão Preto,28,184,42,72,6.57
2018,Geologia,35,254,44,80,7.26
2018,Informática Biomédica − Ribeirão Preto,28,103,32,76,3.68
2018,Sistemas de Informação − São Carlos,35,276,42,70,7.89
2018,Licenciatura em Ciências Exatas − São Carlos,35,71,27,57,2.03
2018,Licenciatura em Geociências e Educação Ambiental,28,149,37,75,5.32
2018,Licenciatura em Matemática / Física,208,756,33,79,3.63
2018,Matemática Aplicada − Ribeirão Preto,32,167,37,64,5.22
2018,Oceanografia,28,207,41,65,7.39
2018,Química (Bacharelados) − Ribeirão Preto,42,356,43,72,8.48
2018,Química − Bacharelado e Licenciatura,84,738,48,80,8.79
2018,Química − Licenciatura − Ribeirão Preto,28,119,33,56,4.25
2018,Química (Bacharelado e Bacharelado com Atribuições Tecnológicas com Ênfases...,48,241,41,73,5.02
2018,Treinamento Exatas,300,3671,48,79,12.24
